index,game,score,leaderbord,gamers,comp_perc,rating,url,min_comp_time,max_comp_time,Links,genres,developer,publisher,release_date,size
0,A Boy and His Blob,638,2.02,2194,16.5,3.2,https://www.truetrophies.com/game/A-Boy-and-His-Blob/trophies,15,20,https://www.truetrophies.com/game/A-Boy-and-His-Blob,Puzzle|Platformer,WayForward-Technologies|Abstraction-Games,Ziggurat,2016/January/19,4.42GB
1,A Hat in Time,1992,1.53,7062,35.9,4.2,https://www.truetrophies.com/game/A-Hat-in-Time/trophies,15,20,https://www.truetrophies.com/game/A-Hat-in-Time,Platformer,Gears-for-Breakfast,Humble-Games,2017/December/05,4.04GB
2,A Hero and a Garden,1364,1.01,503,97.6,5.0,https://www.truetrophies.com/game/A-Hero-and-a-Garden/trophies,0,1,https://www.truetrophies.com/game/A-Hero-and-a-Garden,Visual-Novel,npckc,Ratalaika-Games,2020/August/28,90MB
3,A Hero and a Garden (EU),1363,1.01,581,97.8,2.9,https://www.truetrophies.com/game/A-Hero-and-a-Garden-European/trophies,0,1,https://www.truetrophies.com/game/A-Hero-and-a-Garden-European,Visual-Novel,npckc,Ratalaika-Games,2020/August/28,90MB
4,A King's Tale: Final Fantasy XV,637,2.02,21914,14.1,3.3,https://www.truetrophies.com/game/A-Kings-Tale-Final-Fantasy-XV/trophies,4,5,https://www.truetrophies.com/game/A-Kings-Tale-Final-Fantasy-XV,Action-Adventure|Beat-em-up,Empty-Clip-Studios,Square-Enix,2016/November/29,2.05GB
5,A Plague Tale: Innocence,1691,1.34,22221,44.3,4.3,https://www.truetrophies.com/game/A-Plague-Tale-Innocence/trophies,15,20,https://www.truetrophies.com/game/A-Plague-Tale-Innocence,Action-Adventure|Stealth,Asobo-Studio,Focus-Home-Interactive,2019/May/14,37.33GB
6,A Summer with the Shiba Inu,1372,1.02,640,96.1,2.7,https://www.truetrophies.com/game/A-Summer-with-the-Shiba-Inu/trophies,0,1,https://www.truetrophies.com/game/A-Summer-with-the-Shiba-Inu,Visual-Novel,Quill-Studios,Ratalaika-Games,2020/June/24,413MB
7,A Summer with the Shiba Inu (Asia),1359,1.01,377,98.7,2.8,https://www.truetrophies.com/game/A-Summer-with-the-Shiba-Inu-Asian/trophies,0,1,https://www.truetrophies.com/game/A-Summer-with-the-Shiba-Inu-Asian,Visual-Novel,Quill-Studios|Ratalaika-Games,eastasiasoft,2020/July/07,507MB
8,A Summer with the Shiba Inu (EU),1376,1.02,719,95.7,1.7,https://www.truetrophies.com/game/A-Summer-with-the-Shiba-Inu-European/trophies,0,1,https://www.truetrophies.com/game/A-Summer-with-the-Shiba-Inu-European,Visual-Novel,Quill-Studios,Ratalaika-Games,2020/June/24,413MB
9,A Way Out,1793,1.36,51657,46.6,4.0,https://www.truetrophies.com/game/A-Way-Out/trophies,6,8,https://www.truetrophies.com/game/A-Way-Out,Action-Adventure,Hazelight-Studios,Electronic-Arts,2018/March/23,16.98GB
