gameid,username,rating
0,consolfreak1982,8
0,GreenMachineG,6
1,Jobernater,9
1,Winko,7
1,curzon_dax,9
1,Badilsquare,4
1,jpacor,6
1,RasmusHauschild,9
1,IReviewGames101,10
1,123Heyitsme,9
1,Jordanvds,8
1,Wander22,8
1,SuperDuck23,9
1,TheHumbleGamer,9
1,B-Bog,5
1,bulger_paul,10
1,Zeca_Pa_Gods,10
1,sketch98,10
1,PlatypusMage,9
1,AIKLU,10
1,SoulCr00k,9
1,SebbyPlaysMusic,9
1,SirSoil,10
1,ThePSButton,7
1,ClutterBrain,6
1,MINIMA029,10
1,Ruzaky,8
1,leetl1,9
1,GamerDylan,9
4,mikehettfield,8
4,y21eyuy2g,10
4,DataVeinGaming,8
4,roo7788,6
4,Nox_Arcana,8
4,SwitSwat,8
4,XV_,6
4,Alvokun,7
4,NihiRagnarK,7
4,Jplays_07,6
4,BasilZero,7
4,Nel,8
5,20master,9
5,SahilKChandio,9
5,basbazooka,6
5,premium_sauce,7
5,wesker2012,7
5,FatalBrush,6
5,Dmacy,6
5,GabFire,9
5,14r33c,10
5,Tonarestriga,8
5,ducknet,9
5,Excelsion,10
5,TwinkieGorilla,10
5,DayW123,10
5,TataRin_Saw,10
5,Deisler,10
5,xSeVaLzZ,10
5,JustSandy,10
5,Victikur,10
5,Dyrock,10
5,thanatopsis,10
5,calum769,8
5,fabchan,10
5,BaggedCat,10
5,Stormcrow19,9
5,nmpvortex,10
5,HealingToolbox,9
5,lipton5001,9
5,Elegant,10
5,marjuszkp,10
5,TheScort,9
5,wolfie79,5
5,Jacsam,10
5,hoseinking29,9
5,SP19,10
5,Junin,10
5,MarceloJCaution,10
5,ShadowTarzan,10
5,Johnnybg1981,7
5,Pinelin7,9
5,Hirenkj,8
5,Allthat,10
5,Yoyokyubi,10
5,venomtail,10
5,PazuzuDD,9
5,Hookertan500,9
5,silversaihan,8
5,leviathanarg,10
5,GamergodsFail,9
5,Witchywoman212,10
5,SethGrey,10
5,LaurenJayde,8
5,Dohmein,5
5,jmcanosesp,10
5,overdrive,10
5,Dco326,9
5,Dreizehn,10
5,flayn84,9
5,Saad9812,10
5,chr1so,10
5,mlevyholden,7
5,VTL,8
5,h00licMirai,9
5,SuperkenGaming,7
5,abekdd,8
5,kremedved,7
5,bunsi1995,9
5,muldjord,6
5,WondemanLocke,4
5,DarthPreamp,1
5,Zeydlitz,3
5,basedonprice,0
5,EETAO,6
5,dubula,10
5,Spidor,6
5,daManne,8
5,p1menta,9
5,peteraff1,6
5,Murdochella,2
5,jonsauce,10
5,cas514,5
5,NerdN8,10
5,LatinoHero97,10
5,nathanliapis,9
5,70Ravenz,9
5,Hoaaeinshrt98,8
5,kritisoija,8
5,WN253,10
5,Sioux123,10
5,JonnyMenthol,8
5,Przemun1304,10
5,Dlcdlc6066,10
5,MaxRager,10
5,gamesi,10
5,SOSisterBiT,8
5,DamyanDG10,9
5,ciccio80_1980,10
5,Omar-Ali999,10
5,Carlosblind,10
5,Balrock1230,9
5,Thomska422,10
5,TheWitcher90,9
5,easterfields,10
5,Lonejumper23,10
5,Lestatman,8
5,Angelus78gak,3
5,Derpfishh,10
5,Jasje22,10
5,Danseiya,9
5,inmh,10
5,harris90,9
5,platinump,10
5,Sandro86,8
5,Edjo16,9
5,Siome,9
5,Rumple4EVER,9
5,MrFlimflam,10
5,Hmody10087,10
5,Pipe_9696,10
5,DanielTheCritic,9
5,Filthyfrank69,10
5,mp93Wiking,9
5,Undisputedera0,10
5,AForwood,8
5,horatiousgate,0
5,FORREST_006,10
5,Loykey4g63,1
5,beedy,0
5,jorge9419,9
5,MurphyBrandon,8
5,Oscar_wao,6
5,Chempion1,8
5,Rodrick55,9
5,Alert94,9
5,w0lf1,9
5,Hound2603,9
5,Alobama,10
5,giannis2001,5
5,stryfee-rl,9
5,xaviar_nl,7
5,Berik,6
5,alizodiac,7
5,nandika,10
5,amphibiousman,6
5,Aeolian,10
5,semihply,9
5,DigaHole,8
5,Rukru,9
5,Jigapoo28,9
5,slewbangles,10
5,painava,7
5,Kuggz,9
5,Samyar91,8
5,DmitryV,9
5,alexandrumna,9
5,XxAlbertoBuzzxX,9
5,guywithknife,9
5,Wosk,10
5,drcoomer,5
5,HelderP,9
5,UthersonL,7
5,metalthan,9
5,iSpirakos,7
5,613th,7
5,Adricm,9
5,Picayas930,8
5,Kennysteny,10
5,Beks_N,9
5,Talomustkill,9
5,RogerTsang,10
5,AnGElHisPANo,9
5,timmytime,8
5,Steag,7
5,Kristof_Kadaver,9
5,bayard,9
5,shenzeyu,10
5,piuscorvus,8
5,Forrest9999,10
5,OhitsStefan,8
5,Andoryuu7,10
5,nnevill,7
5,Millymolly,10
5,Youngblaise,10
5,bergcamp101,8
5,Skorzeny1988,9
5,ReyArturo2006,10
5,jeffsaw1,10
5,Tariqzj,10
5,Iqra007,10
5,Emorroidin,8
5,hamahama,9
5,rallianto,9
5,wangweixun,8
5,Sicariox84,8
5,rvp,7
5,Vlad013,10
5,sergio123456,7
5,Yin777,8
5,strangebrew123,7
5,Madsgiil,7
5,Xilg,8
5,Madhatzer,10
5,Saijax05,10
5,Dragonfly44,9
5,Exterminador_d7,8
5,boris_out,10
5,sethguyhill,8
5,justbe,10
5,sajju84,4
5,Metacritican,9
5,RhetoricThug,8
5,The_danya,9
5,infamousgeorge_,10
5,Reshteen,10
5,ElTemperados,5
5,Neatqt,7
5,El_diabolo,10
5,razoom,7
9,C3realkillah,8
9,PixelKing41,10
9,bskierys,8
9,Necrophat,8
9,dash383535,8
9,Fenomen,8
9,wangnuggets,8
9,tefanga,10
9,Anton_Kasyanov,10
9,zMattyPower,10
9,slinedberg,10
9,thundaza,9
9,kingofgames,10
9,RayEvans,10
9,Yana_Kasyanova,10
9,Rockodss,9
9,SaviorGaming,8
9,LaurenKron,9
9,RodrigoTP,10
9,XIT_SHOT,10
9,JohnSnitn,9
9,CartoonAK,10
9,beewarrior,10
9,sashaCZ1,7
9,TheRipper,10
9,jokii,10
9,ondah,10
9,The_Seaman_,10
9,NanoToybox,8
9,Jacob_D,10
9,billybigbollock,3
9,drlowdon,6
9,Pyron,10
9,EETAO,10
9,SreveK,1
9,Righter,5
9,Markos-,8
9,timmytime,8
9,the1mazzy,1
9,njja02,5
9,Johnsayegh,10
9,JCLDA_14,10
9,kongdub,10
9,GameEnthusiast,4
9,Theros,10
9,PhantomLotus,9
9,basvankuijck,4
9,GrumpyReviewer,9
9,Tolga-Teo,9
9,RuslanDZE,10
9,sidex100,3
9,TheBraveFencer,5
9,Father_death,10
9,scruffy_77,10
9,X111XTRME,9
9,dangler11,10
9,Vitalibertas,9
9,Pumbas_Mate,4
9,worldwidejf,0
9,QuinterX,10
9,AdriaanC,10
9,OmegaRejectz,8
9,CtrlAlt,9
9,MEMESAREPEOPLE,8
9,RanGom007,10
9,eXtremeHUN,9
9,Cech,2
9,wesker2012,7
9,thanatopsis,6
9,Drealgrin,10
9,OldCrotchety,7
9,kylocosplay,7
9,LimitedEdition,9
9,Winko,6
9,Caerleon,4
9,Mr_Eleganto,9
9,utkuozdemir,9
9,vboyev,9
9,frederik1478,6
9,lfcakewalk,10
9,Nouf,9
9,LBENAM,10
9,ENDrain,0
9,MrStewpidity,10
9,TatsMcGee,7
9,WatermelonHelen,10
9,AchuM10,0
9,lattimermatt,10
9,SoroushCloner,9
9,The_Joker_07,10
9,xOsmiumx,9
9,TheATeam7734,10
9,Ufigufi,6
9,amralchalati,10
9,mclussi,9
9,DrFriendless,9
9,Murqs,1
9,MaksSamara,10
9,DamyanDG10,10
9,budlightlime,9
9,emporio2866,7
9,Artem7480,0
9,meeliason,10
9,Jan_Kazimierz,9
9,jvbeijnhem,9
9,stonpaun,10
9,mrkp,8
9,Anajak,8
9,Walker_Bros_360,9
9,roundtablegamer,8
9,ziGihouse,7
9,HTGamer,8
9,Tavito39,10
9,VirgyMD,8
9,Djtoodles,8
9,SuperkenGaming,8
9,Termin8ter,8
9,Wander22,7
9,ManiacTaniacc,10
9,ElleryHQ,7
9,Lewis-Angelo,4
9,tanonero,7
9,RoloBianchi,6
9,HPMHS,1
9,GustavoCOD,10
9,XxAlbertoBuzzxX,7
9,Pavoletti94,9
9,brendo214,8
9,hernanlvp,8
9,Topliyak,10
9,Mohammadgama82,10
9,TrasteroDPablo,9
9,alexslork,7
9,Bbplayer,8
9,ToshLichev,4
9,FrpMan,8
9,Felesh-Warrior,7
9,PaulMatt,8
9,Curtis_Gentle,7
9,Robin1992,1
9,AlvaroK95,7
9,botanink,7
9,7lad,1
9,Menni,8
9,Trebbe,8
9,Dimehead,4
9,Skrok,8
9,Mustafasahilli,10
9,Doni_Fire,10
9,BradMorgan,7
9,Respectmike,10
9,AWAYOUTSUCKS,0
9,MohamedShokry,8
9,thankyoutaker,8
9,Rebel_Raider94,2
9,R3n4h,10
9,m1ku47,6
9,Mr1,9
9,Pedrogamadm,9
9,Boss_kachalki,10
9,Talabeer,7
9,Omarunes95,8
9,BeanLaden,8
9,astraliez,8
9,smrkisk,0
9,SteveTrooper,3
9,canadiaN35,10
9,emreglbdk,8
9,Bagheera051,10
9,FRANXXSHINIGAMI,10
9,SirVictor,10
9,nexus151196,6
9,Keats007,9
10,Saselpipero333,0
10,xRAMONSTROx,10
12,Philli_86,4
12,EveNarlieth,9
12,painkiller27,1
12,Tirah,2
12,JackKasket,0
12,tsakiym,0
12,EthanMoon,0
12,Dal_ReviewedDat,3
12,tr3472,2
12,Turbodowg,0
12,TheDigitalOtaku,3
12,WizardVReaper,0
12,seriimac,10
12,Sparkticle,2
12,drlowdon,3
12,TraceSkipper,7
12,fandango89,2
12,Cerberus7010,0
12,jontilton,8
12,FriedConsole,6
12,alexmanea,5
12,MartinWan1980,5
12,osn132,8
13,FriedConsole,7
13,mobieus,9
13,casusbely,9
15,SuperkenGaming,7
15,GamingNinja,9
15,Proteus,4
15,adrianvandelzel,10
15,parkerz98,7
15,Liam320,7
15,rodericrinehart,6
15,Casualplayer,7
15,Andret00x,6
15,keanex,6
